Target_Cell_Type,Rank,Cell_Name,VT,Delay_Raw,Power_Raw,Delay_Norm,Power_Norm,Avg_Norm_Score,,,,,,,,,,,,,,,,,,
CKINVDC,6,CKINVDCx16_ASAP7_75t_R,RVT,16.176,1.4761,0.2944,0.0168,0.1556,,,,,,,,,,,,,,,,,,
CKINVDC,7,CKINVDCx11_ASAP7_75t_L,LVT,15.955,3.7221,0.2801,0.0588,0.1695,,,,,,,,,,,,,,,,,,
CKINVDC,8,CKINVDCx10_ASAP7_75t_L,LVT,16.575,3.3746,0.32,0.0523,0.1861,,,,,,,,,,,,,,,,,,
CKINVDC,9,CKINVDCx14_ASAP7_75t_R,RVT,17.336,1.285,0.3688,0.0133,0.191,,,,,,,,,,,,,,,,,,
CKINVDC,10,CKINVDCx9p33_ASAP7_75t_L,LVT,17.452,3.2071,0.3762,0.0492,0.2127,,,,,,,,,,,,,,,,,,
CKINVDC,11,CKINVDCx12_ASAP7_75t_R,RVT,18.107,1.1195,0.4183,0.0102,0.2142,,,,,,,,,,,,,,,,,,
CKINVDC,12,CKINVDCx8_ASAP7_75t_L,LVT,18.154,2.7026,0.4213,0.0397,0.2305,,,,,,,,,,,,,,,,,,
CKINVDC,13,CKINVDCx11_ASAP7_75t_R,RVT,18.809,1.0515,0.4634,0.0089,0.2361,,,,,,,,,,,,,,,,,,
CKINVDC,14,CKINVDCx10_ASAP7_75t_R,RVT,19.581,0.9578,0.5129,0.0071,0.26,,,,,,,,,,,,,,,,,,
CKINVDC,15,CKINVDCx9p33_ASAP7_75t_R,RVT,20.509,0.9426,0.5725,0.0069,0.2897,,,,,,,,,,,,,,,,,,
CKINVDC,16,CKINVDCx6p67_ASAP7_75t_L,LVT,20.281,2.2949,0.5578,0.0321,0.295,,,,,,,,,,,,,,,,,,
CKINVDC,17,CKINVDCx8_ASAP7_75t_R,RVT,21.5,0.783,0.636,0.0039,0.32,,,,,,,,,,,,,,,,,,
